,cms_zone,num_trips,num_walk_trips,num_transit_trips,num_bike_trips,num_taxi_trips,num_tnc_trips,num_complete_weekend_days,num_complete_weekdays,first_travel_date,last_travel_date,made_trips,smartphone_type,age,employment,worker,student,license,vehicle,congestion,drive_cbd_freq,planning_apps,job_type,jobs_count,industry,telework_freq,work_cms_zone,missing_work_location,work_mode,missing_school_location,bike_freq,bike_stolen,no_bike_nyc_bike_lanes,no_bike_nyc_paving,no_bike_nyc_storage,no_bike_nyc_long_trips,no_bike_nyc_showers,no_bike_nyc_modes,no_bike_nyc_unable,no_bike_nyc_other,bike_share_citi_bike,bike_share_jump,bike_share_lime,bike_share_none,bike_share_user,no_bike_share_unfamiliar,no_bike_share_expensive,no_bike_share_neighborhood,no_bike_share_stations,no_bike_share_personal_bike,no_bike_share_docks,no_bike_share_uncomfortable,no_bike_share_other,tnc_use_uber,tnc_use_lyft,tnc_use_via,tnc_use_juno,tnc_use_none,tnc_user,tnc_freq,tnc_purpose,tnc_mode,car_share_zipcar,car_share_car2go,car_share_enterprise,car_share_other,car_share_none,car_share_user,packages,harassment,gender,education,english_proficiency,ethnicity,race_american_indian,race_asian,race_black,race_native_hawaiian,race_white,race_other,disability_hearing,disability_seeing,disability_walking,disability_mobility,disability_dressing,disability_concentrating,disability_none,license-9998,license999,tnc_user-9998,tnc_user999,tnc_use_-9998,tnc_use_999,bike_-9998,bike_999,no_bike_nyc_-9998,no_bike_nyc_999,bike_share_-9998,bike_share_999,disability_-9998,disability_999,no_bike_share_-9998,no_bike_share_999,race_-9998,race_999
20,Manhattan Core,25.0,25.0,2.0,0.0,0.0,0.0,2.0,5.0,06/21/2019,06/27/2019,1.0,1,4,1,1,0,0,995,1,995,5,1,1,16,7,Manhattan Core,0,1,0,5,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7,60,106,0,0,0,0,1,0,3,4,4,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Manhattan Core,7.0,2.0,5.0,0.0,0.0,0.0,1.0,5.0,06/21/2019,06/27/2019,1.0,1,5,1,1,0,1,995,1,995,1,1,1,7,7,Manhattan Core,0,105,0,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,3,4,1,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Manhattan Core,36.0,29.0,9.0,0.0,0.0,1.0,1.0,5.0,06/22/2019,06/28/2019,1.0,2,5,1,1,0,1,995,2,995,1,1,1,16,6,Manhattan Core,0,105,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,106,0,0,0,0,1,0,7,4,1,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Manhattan Core,18.0,3.0,13.0,0.0,0.0,0.0,0.0,5.0,06/22/2019,06/28/2019,1.0,2,8,3,1,0,1,995,1,995,4,2,1,4,4,Manhattan Core,0,105,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,4,2,105,1,1,1,0,0,1,2,4,1,6,1,997,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Manhattan Core,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,06/21/2019,06/27/2019,1.0,1,5,1,1,0,0,995,5,995,7,1,1,7,4,Manhattan Core,1,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,1,4,2,7,2,997,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Manhattan Core,34.0,16.0,0.0,8.0,0.0,0.0,2.0,5.0,06/24/2019,06/30/2019,1.0,2,8,1,1,0,1,1,2,4,1,1,1,1,8,Manhattan Core,0,103,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,3,4,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Manhattan Core,51.0,24.0,9.0,0.0,0.0,5.0,2.0,3.0,06/22/2019,06/28/2019,1.0,2,5,1,1,0,1,995,2,995,3,1,1,1,8,Manhattan Core,0,105,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,5,1,105,0,0,0,0,1,0,3,4,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Manhattan Core,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,06/21/2019,06/27/2019,1.0,1,6,3,1,0,1,1,1,4,-9998,2,1,16,4,Manhattan Core,0,103,0,-9998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,103,0,0,0,0,1,0,-9998,-9998,2,-9998,-9998,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
28,Manhattan Core,29.0,10.0,7.0,0.0,4.0,0.0,2.0,5.0,06/22/2019,06/28/2019,1.0,2,5,6,0,1,1,1,2,1,1,995,0,995,995,Manhattan Core,0,995,1,5,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,7,106,0,0,0,0,1,0,3,1,1,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Northern Manhattan,4.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,06/21/2019,06/27/2019,1.0,1,4,6,0,1,0,995,5,995,-9998,995,0,995,995,Manhattan Core,0,995,1,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,6,1,105,0,0,0,0,1,0,-9998,-9998,1,6,1,997,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Northern Manhattan,33.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,06/21/2019,06/27/2019,1.0,1,8,1,1,0,1,1,1,7,1,2,1,6,6,Manhattan Core,0,103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,5,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,Northern Manhattan,49.0,29.0,15.0,0.0,4.0,1.0,2.0,5.0,06/24/2019,06/30/2019,1.0,2,8,1,1,0,1,995,1,995,4,1,1,17,7,Manhattan Core,0,105,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,51,106,0,0,0,0,1,0,1,4,1,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Northern Manhattan,27.0,8.0,5.0,0.0,0.0,0.0,2.0,5.0,06/24/2019,06/30/2019,1.0,2,9,3,1,0,1,1,1,7,4,3,1,15,995,Manhattan Core,0,995,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,1,4,2,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Northern Manhattan,40.0,14.0,16.0,0.0,0.0,2.0,2.0,2.0,06/21/2019,06/27/2019,1.0,2,5,1,1,0,1,995,1,995,1,1,1,16,6,Manhattan Core,0,105,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,1,106,0,0,0,0,1,0,1,4,2,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Northern Manhattan,50.0,11.0,2.0,0.0,0.0,1.0,0.0,1.0,06/24/2019,06/30/2019,1.0,2,5,3,1,0,0,995,-9998,995,-9998,2,6,9,8,Manhattan Core,0,105,0,-9998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,6,1,105,0,0,0,0,1,0,-9998,-9998,1,-9998,-9998,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,Northern Manhattan,37.0,25.0,10.0,1.0,2.0,0.0,2.0,3.0,06/21/2019,06/27/2019,1.0,2,6,1,1,0,1,995,1,995,1,1,1,17,8,Manhattan Core,0,105,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,1,106,0,0,0,0,1,0,1,4,2,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Northern Manhattan,54.0,27.0,18.0,0.0,2.0,0.0,1.0,4.0,06/21/2019,06/27/2019,1.0,1,6,6,0,0,0,995,4,995,3,995,0,995,995,Manhattan Core,0,995,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,2,3,1,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Inner Brooklyn,41.0,19.0,7.0,0.0,0.0,0.0,2.0,5.0,05/24/2019,05/30/2019,1.0,2,6,1,1,0,1,995,5,995,1,1,1,8,8,Inner Brooklyn,0,105,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,1,102,0,0,0,0,1,0,8,4,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,Inner Brooklyn,31.0,19.0,7.0,0.0,0.0,0.0,2.0,5.0,06/01/2019,06/07/2019,1.0,2,5,6,0,0,0,996,3,1,3,995,0,995,995,Manhattan Core,0,995,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,7,100,0,0,0,1,0,1,2,4,1,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Inner Brooklyn,4.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,06/08/2019,06/14/2019,1.0,1,9,6,0,0,0,995,5,995,6,995,0,995,995,Manhattan Core,0,995,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6,99,101,0,0,0,0,1,0,4,4,1,3,1,999,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
